HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
MEDCARE HOSPITAL LLC - SHJ BR. (Except DR. AHMED SHINDY [MOHD46076]),HOSPITAL,SHARJAH,KING FAISAL STREET,06- 5949701,Covered,Covered,,,,,,
NEW HOPE GYNAECOLOGY AND FERTILITY HOSPITAL-SHARJAH,HOSPITAL,SHARJAH,"SHARJAH ,SHARJAH MAMZAR , AL SUNDUS TOWER, BEHIND EXPO CENTER SHARJAH.",06-5254446,Covered,,,,,,,
UNIVERSITY HOSPITAL,HOSPITAL,SHARJAH,UNIVERSITY CITY,06-5058555,Covered,Covered,,,,,,
THUMBAY HOSPITAL DAYCARE - MUWAILAH 1,HOSPITAL,SHARJAH,UNIVERSITY CITY ROAD,06-5449444,Covered,Covered,Covered,Covered,,,Covered,
W. WILSON SPECIALIZED HOSPITAL ,HOSPITAL,SHARJAH,"OPPSITE TAAWUN MALL, 1ST FLR AL BURJ BUILDING",06-5771757,Covered,Covered,Covered,Covered,,,,
SHEIKH KHALIFA GENERAL HOSPITAL,HOSPITAL,UMM AL QUWAIN,AL SALAMA,06-7061111,Covered,Covered,Covered,,,Covered,Covered,
BERLIN HEALTH CARE LLC DXB (Day Surgery Unit),HOSPITAL,DUBAI,"Villa 1, Bel Remaitha Club, Nadd Al Hamar, Dubai",04-3999488,Covered,Covered,Covered,Covered,,,,
"COSMESURGE PLASTIC SURGERY HOSPITAL & CLINICS LLC, UMM SUQEIM(COSMESURGE GROUP)",HOSPITAL,DUBAI,"UMM SUQEIM 2, BEACH ROAD, UMM SUQEIM",80026763,Covered,Covered,,,,,,
CITY SPECIALTY HOSPITAL L.L.C SP,HOSPITAL,SHARJAH,"PULLMAN HOTEL, AL TAAWUN STREET, SHARJAH",06-5918888,Covered,Covered,Covered,Covered,Covered,,Covered,
"COSMESURGE & EMIRATES CLINIC FOR ONE DAY SURGERY SHARJAH BRANCH, SHARJAH(COSMESURGE GROUP)",HOSPITAL,SHARJAH,"RAFFAA, AL MUNTAZAH ROAD SHARJAH",800 26763,Covered,Covered,,,,,,
MILLENNIUM HOSPITAL L.L.C (AHALIA GROUP),HOSPITAL,ABU DHABI,"ME 9 , BEHIND SAFEER MALL, MUSSAFAH, ABU DHABI",02-6113333,Covered,Covered,Covered,Covered,Covered,,Covered,
FIRST IVF AND DAY SURGERY CENTRE FZ-LLC - DHCC,HOSPITAL,DUBAI,"AL RAZI BUILDING 64, DHCC",04-7701741,Covered,Covered,,,,,,
"YAS CLINIC ONE DAY SURGERY - SOLE PROPRIETORSHIP L.L.C., MUSAFFAH (YAS CLINIC GROP)",HOSPITAL,ABU DHABI,"Musaffah, 1st Floor, Shop No: A_1-5A-M41,2G,2F,2E,2D,2C,Unit Owned by Dalma Mall",02-2086200,Covered,Covered,,,,,,
"ASTER HOSPITAL SONAPUR LLC, MUHAISANAH (DM HEALTHCARE)",HOSPITAL,DUBAI,"Aster Hospital, Muhaisnah Algeria Street, Muhaisnah, Sonapur",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,,
HEALTHLINE DAY CARE SURGERY L.L.C. (HLDS GROUP),HOSPITAL,ABU DHABI,"Baniyas East 11, , Abu Dhabi, 26th Street",02-5668600,Covered,Covered,,,,,Covered,DENTAL IS COVERED FOR GOLD & SILVER PREMIUM NETWORK ONLY.
MIRDIF PRIVATE HOSPITAL LLC,HOSPITAL,DUBAI,"Al Mizhar 1,Mridif,Dubai",04-4545000,Covered,,,,,,,
EXETER MEDICAL CENTER FOR BONE & JOINT HEALTH-ABU DHABI-MF2500,HOSPITAL,ABU DHABI,"16TH PILOT WEST, AL BATEEN, ABU DHABI",02-6354321,Covered,Covered,,,,,,
***MEDICLINIC HOSPITALS - MADINAT ZAYED SPECIALITY-MF2339,CLINIC,ABU DHABI,MADINA ZAYED,02-8848883,Covered,Covered,Covered,Covered,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
MEDICLINIC DEIRA CLINIC BR OF MEDICLINIC INVESTMENT LLC-DAY SURGERY CENTER (previously known as City Center Clinic Deira),HOSPITAL,DUBAI,DEIRA CITY CENTRE,04-6055999,Covered,Covered,,,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
"EMIRATES SPECIALITY HOSPITAL FZ-LLC, DHCC - EMIRATES HOSPITAL GROUP",HOSPITAL,DUBAI,"BUILDING NUMBER 62, DUBAI HEALTHCARE CITY",04-2484500,Covered,Covered,Covered,Covered,,,Covered,DENTAL IS COVERED FOR GOLD TO GREEN NETWORKS ONLY.
EMIRATES HOSPITAL,HOSPITAL,DUBAI,"JUMERIAH BEACH ROAD, OPP. JUMEIRAH BEACH PARK",04-3496666,Covered,Covered,Covered,Covered,,,Covered,DENTAL IS COVERED FOR GOLD TO GREEN NETWORKS ONLY.
EMIRATES HOSPITAL DAY SURGERY AND MEDICAL CENTER LLC,HOSPITAL,DUBAI,"HONSHO STREET, OOP DUBAI KARTDROME . MOTOR CITY DUBAI ",04-8716900,Covered,Covered,Covered,,,,,
AL TADAWI SPECIALTY HOSPITAL L.L.C.,HOSPITAL,DUBAI,"NEAR RTA HQ, UMM RAMOOL ROAD, AL GARHOUD",04 2309999,Covered,Covered,Covered,Covered,Covered,,,
"BARRAQUER EYE HOSPITAL FZLLC, DUBAI",HOSPITAL,DUBAI," DUBAI HEALTHCARE CITY - PHASE II AL JADAF, DUBAI, UAE",04-5739999,Covered,Covered,,,,,,
DAR AL KAMAL HOSPITAL SHARJAH - H1186,HOSPITAL,SHARJAH,"Al Sharq Street, Al Heerah Suburb, Al Fisht, Sharjah",06-5997777,Covered,Covered,,,,,,
N M C HOSPITAL BR OF NMC ROYAL HOSPITAL LLC-DIP BLUE,HOSPITAL,DUBAI,"PLOT NO 598-639,  IN FRONT OF GREEN COMMUNITY, NEAR EMICOOL HEAD OFFICE, DIP 1",04-8019129,Covered,Covered,Covered,Covered,Covered,Covered,,
GAELAN MEDICAL CARE ONE DAY SURGERY HOSPITAL LLC-8102,HOSPITAL,SHARJAH,"AL MAHA TOWER, AL KHAN -AL TAAWUN ST, AL KHAN AREA, SHARJAH",06-5942222,Covered,Covered,,,,,Covered,
ASTER HOSPITAL - SHARJAH,HOSPITAL,SHARJAH,"BEHIND MEGA MALL, AL BU DANIQ, SHARJAH",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,,FACILITY STOPPED W.E.F. 30TH JUNE AND WILL BE UPDATED TO MEDCARE
"DUBAI LONDON HOSPITAL LLC, JUMIERAH (BR OF DUBAI LONDON CLINIC AND SPECIALTY HOSPITAL)",HOSPITAL,DUBAI,"Plot No. 3621078, Jumeirah Beach Road, Umm Suqeim 2, Dubai, UAE",04-3782999,Covered,Covered,,,,,Covered,Dental Covered only for Gold & Silver Premium network
"UNIQUE ALAHALIA OPHTHALMOLOGY ONE DAY SURGERY MEDICAL CENTER, (AHALIA GROUP)",HOSPITAL,ABU DHABI,"AIRPORT ROAD, DELMA STREET",02-4439777,Covered,Covered,Covered,,,,,
SHEIKH SHAKHBOUT MEDICAL CITY,SEHA HOSPITAL,ABU DHABI," Ghweifat International Highway, Mafraq area, Shakhbout Medical City LLC Building",02-3146244,Covered,Covered,,,,,,
"HEALTHHUB BR ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC, TECOM (HEALTHHUB)",CLINIC,DUBAI,"AL THANYAH FIRST ART Heights Shop 4,5,6, Dubai",04-5963080,Covered,Covered,Covered,Covered,,,Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
YAS HEALTH CARE L.L.C. - BRANCH 1 - ABU DHABI (BR OF YAS HEALTHCARE LLC),CLINIC,ABU DHABI," Al Falahi Tower, Murror Road, Abu Dhabi",02-3336999,Covered,Covered,,,,,,
IBN SINA MEDICAL CENTRE- BRANCH1-ABU DHABI/ MF4834 - IBN SINA MEDICAL CENTER,CLINIC,ABU DHABI," ALREEF VILAS, ALREEF AREA ",02-6739001,Covered,Covered,Covered,Covered,Covered,,,
SMILE FIRST DENTAL CENTER - ABU DHABI,CLINIC,ABU DHABI," M01, Arzanah Tower,  Salam Street,  Arzanah Tower ",02-6226672,Covered,Covered,Covered,Covered,,,Covered,
ASPEN DENTAL POLYCLINIC LLC - ABU DHABI - MF1288,CLINIC,ABU DHABI,"101, Al Ansari Exchange Building, Khalifa Street ,Mr. Butti Al Otaiba Building ,ABU DHABI",02-6730013,,,,,,,Covered,
BEVERLY HILLS MEDICAL CENTRE LLC-MF3608,CLINIC,ABU DHABI,"15, BUILDING 699, AL MUSHRIF AREA, KHALIFA BIN MOHAMED STREET, OPPOSITE CHOUIFAT INTERNATIONAL SCHOOL",02-2222494,Covered,Covered,Covered,Covered,,,,
ADAM & EVE SPECIALIZED MEDICAL CENTRE LLC,CLINIC,ABU DHABI,"1ST FLOOR, AL OTAIBA BUILDING, ELECTRA STREET",02-6767366,Covered,Covered,Covered,Covered,Covered,Covered,,
"NEW LOOK MEDICAL CENTER L.L.C, ABU DHABI (NEW LOOK MEDICAL CENTER GRP)",CLINIC,ABU DHABI,ABU DHABI - Al Muroor Street,02-6333361,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
TOP CARE MEDICAL CENTER,CLINIC,ABU DHABI,"Al  Eskan AL Jamae Building, Shops no. R023, R024,R025 – Ground Floor, Mussafah Industrial Area, Abu Dhabi-UAE",02-5500620,Covered,Covered,Covered,Covered,Covered,Covered,,
HEALTH PLUS FAMILY HEALTH CENTER,CLINIC,ABU DHABI,"AL BANDAR, AL RAHA BEACH",600503035,Covered,,,,,,,
ADVANCED CURE DIAGNOSTIC CENTRE,CLINIC,ABU DHABI,"AL BATEEN AREA, NEAR AL BATEEN STREET",02-4100884,Covered,Covered,,,,,,
KIDS HEART MEDICAL CENTER LLC,CLINIC,ABU DHABI,"AL KARAMAH ST. CORNER DELMA STREET VILLA 54,ABU DHABI,UAE",02-4458881,Covered,Covered,,,,,,
ROYAL INTERNATIONAL MEDICAL CENTER - ABU DHABI - MF4357,CLINIC,ABU DHABI,"AL MAFRAQ WORKERS VILLAGE NO. 1 ,ELELNCO BUILDING ,ABU DHABI",02-8775522,Covered,Covered,Covered,Covered,,,,
NEW NATIONAL MEDICAL CENTRE-BRANCH1-NATIONAL HOSPITAL/MF3744,CLINIC,ABU DHABI,"AL MASAWOOD VILLAGE, HAMEEM CAMP",02-6711000,Covered,Covered,Covered,Covered,Covered,,,
OXFORD MEDICAL CENTRE,CLINIC,ABU DHABI,AL MUROOR ROAD,02-4489666,Covered,Covered,Covered,Covered,Covered,,Covered,DENTAL IS COVERED UPTO EMERALD NETWORK.
EXTRA CARE MEDICAL CENTRE L.L.C - ABU DHABI - MF3621,CLINIC,ABU DHABI,"AL NAJDA STREET, NAHEL TOWER,NBO BUILDING,ABU DHABI",02-6344922,Covered,Covered,Covered,Covered,Covered,,,
AMRITA MEDICAL CENTRE- ABU DHABI- MF1124,CLINIC,ABU DHABI,AL NASR STREET,02-6661555,Covered,Covered,Covered,Covered,Covered,,Covered,
"INFINTI MEDICAL CENTER L.L.C, ABU DHABI",CLINIC,ABU DHABI,"AL WADI BUILDING BLOCK NO. 198, MAIN INDUSTRIAL, ABU DHABI, UAE.",02-8882622,Covered,Covered,Covered,Covered,,,,
CLARION MEDICAL CENTER-MF5068 ,CLINIC,ABU DHABI,"BACKSIDE OF CHOITHRAMS, CLARION MEDICAL CENTER BUILDING, M1, AL KHALIDIYA, 3RD STREET",02-6666675,Covered,Covered,Covered,Covered,Covered,Covered,,
MEDICLINIC HOSPITALS - BANIYAS CLINICS/MF3665,CLINIC,ABU DHABI,BANIYAS,02-5668800,Covered,Covered,Covered,Covered,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
"NEW LOOK MEDICAL CENTER L.L.C - BRANCH 4, ABU DHABI (NEW LOOK MEDICAL CENTER GRP)",CLINIC,ABU DHABI,"BANIYAS EAST 11, ABU DHABI, UAE",02-5500603,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL SALAMA ONE DAY SURGERY CENTER-AL SALAMA GROUP/MF2398,CLINIC,ABU DHABI,"BANIYAS EAST 43, ABU DHABI",02-5047900,Covered,Covered,Covered,Covered,Covered,,,
EASTERN AHALIA MEDICAL CENTRE,CLINIC,ABU DHABI,"BANIYAS WEST, AL MAFRAQ, WORKERS CITY 2",02-5856005,Covered,Covered,Covered,Covered,Covered,,Covered,
STAR MEDICAL CENTER L.L.C - ABU DHABI - MF578,CLINIC,ABU DHABI,"BESTO HYPERMARKET BUILDING, ELECTRA STREET, FLOOR(203(, ABU DHABI ",02-6661003,Covered,Covered,Covered,Covered,Covered,Covered,,
STAR MEDICAL CENTRE - BRANCH 1 - ABU DHABI - MF3569,CLINIC,ABU DHABI,"BESTO HYPERMARKET BUILDING, ELECTRA STREET, FLOOR(203(, ABU DHABI ",02-6661004,Covered,Covered,Covered,Covered,Covered,Covered,,
MEDICLINIC HOSPITALS - ALMUSAFAH SPECIALITY/MF3080,CLINIC,ABU DHABI,"BILAL MUSTAFA AL KHALED BLDG, NEAR SHABIYA MUSSAFAH BIG MOSQUE, ME-10, SHABIYA, MUSSAFAH",02-4066874,Covered,Covered,Covered,Covered,Covered,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
IBN AL NAFIS MEDICAL CENTRE,CLINIC,ABU DHABI,"BIN SAGAR TOWER, FATIMA BINT MUBARAK ST",02-6324200,Covered,Covered,Covered,Covered,Covered,Covered,,
DAAR AL MISBAH MEDICAL CENTER L.L.C - ABU DHABI - MF4402,CLINIC,ABU DHABI,"BUILDING 01, FIRST FLOOR, STREET 12,SANAYYA M11,ABU DHABI",02-6213119,Covered,Covered,Covered,Covered,,,,
AMERICAN EUROPEAN MEDICAL CENTER LLC - MF1913,CLINIC,ABU DHABI,"BUILDING 196, 1ST FLOOR, OPPOSITE AL HILAL BANK, NEAR TO MARLIN FURNITURE, AIRPORT ROAD",02-4455477,Covered,Covered,Covered,Covered,Covered,,,
BURJEEL MEDICAL CENTRE LLC,CLINIC,ABU DHABI,DEERFIELD MALL,02-5821555,Covered,,,,,,,
PRINCE MEDICAL CENTRE ONE DAY SURGERY,CLINIC,ABU DHABI,"DEFENSE ROOAD, HAZAA BIN ZAYED STREET",02-6415533,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
QUALITY CARE MEDICAL CENTER LLC -ABU DHABI / MF1011,CLINIC,ABU DHABI,"EMIRATES ISLAMIC BANK BUILDING, LIWA STREET CORNER, CORNICHE STREET",02-6260600,Covered,Covered,Covered,Covered,Covered,,Covered,
"HEALTH TIME MEDICAL CENTER, ABU DHABI",CLINIC,ABU DHABI,F2C4ALMAFRAQ  CHINA CAMP BEHIND PARCO MALL BANIYAS.,02-5554006,Covered,Covered,Covered,Covered,Covered,Covered,,
ISHTAR MEDICAL CENTRE-MF3818,CLINIC,ABU DHABI,"FLAT 405 , ABU DHABI PLAZA COMPLEX, FATIMA BINT MUBARAK STREET",02-6333886,Covered,Covered,,,,,,
GOLDEN HEALTH MEDICAL CENTER - MF4684,CLINIC,ABU DHABI,"GOLDEN HEALTH MEDICAL CENTER, HAMEEM ROAD, AL SALAM LIVING CITY, ABU DHABI.",02-5855552,Covered,Covered,Covered,Covered,Covered,Covered,,
GOLDEN TULIP MEDICAL CENTRE LLC,CLINIC,ABU DHABI,"GOLDEN TULIP MEDICAL CENTRE, NEXT TO PHARMALINK BUILDING, M17 SHANIYA MUSAFFAH INDUSTRIAL, 11TH STREET, ABU DHABI",02-5556608,Covered,Covered,Covered,Covered,,,,
"NMC ROYAL FAMILY MEDICAL CENTRE L.L.C. - ABU DHABI - NMC GROUP/MF3335
",CLINIC,ABU DHABI,"GROUND FLOOR, PRESTIGE TOWER, MOHAMMED BIN ZAYED CITY NEAR CAPITAL MALL",02-6911500,Covered,Covered,Covered,Covered,Covered,,,
"AL AMAL MEDICAL CENTRE LLC, ABU DHABI",CLINIC,ABU DHABI,HAMD MUBARAK HAMD BLDG. 1ST FLOOR.,02-5832331,Covered,Covered,Covered,Covered,Covered,Covered,,
SKY DENTAL CENTRE- ABU DHABI,CLINIC,ABU DHABI,HAMDAN STREET,02-6268880,,,,,,,Covered,
CHARISMA MEDICAL CENTER L.L.C - ABU DHABI -(AL BUROOJ MEDICAL CENTER LLC),CLINIC,ABU DHABI,"HAMDAN STREET, NEAR AL SHUROOQ HOTEL AND AL MUSSAFAH ELECTRIC BAKERY, ZIANI AREA, ABU DHABI",02-6775775,Covered,Covered,Covered,Covered,Covered,,,
BEAUTICA DENTAL CENTER - SOLE PROPRIETORSHIP L.L.C - ABU DHABI - MF4515,CLINIC,ABU DHABI,"HARDEES BUILDING,HAMDAN STREET,ABU DHABI ISLAND, ABU DHABI",02-4465599,Covered,Covered,Covered,Covered,,,Covered,
HEALTH PLUS FERTILITY CENTER,CLINIC,ABU DHABI,HAZAA BIN ZAYED THE FIRST ST (11TH ST),600503035,Covered,,,,,,,
HEALTH PLUS WOMENS HEALTH CENTER L LC,CLINIC,ABU DHABI,HAZAA BIN ZAYED THE FIRST ST (11TH ST),600503035,Covered,,,,,,,
AL WAHDA MEDICAL CENTER,CLINIC,ABU DHABI,"HAZZAA BIN ZAYED STREET, OPPOSITE AL NAHDA MALL",02-6418383,Covered,Covered,Covered,Covered,Covered,,Covered,
AL DHAFRA MODERN CLINIC ,CLINIC,ABU DHABI,"INDUSTRIAL AREA, MADINAT ZAYED",02-8846651,Covered,Covered,Covered,Covered,Covered,Covered,,
HOLLYWOOD SMILE MEDICAL CENTER (prev. FAMILY DENTAL CLINIC)-MF351,CLINIC,ABU DHABI,"KHALIFA STREET , NEAR MASHREQ BANK",02-6271371,,,,,,,Covered,
COSMESURGE & EMRIATES HOSPITAL FOR ONE DAY SURGERY-BR,CLINIC,ABU DHABI,"KHALIFY CITY, CORNER ST., 16&3, NEAR KHALIFA POST OFFICE",02-5572155,Covered,,,,,,,
"NOVOMED CENTERS L.L.C - BRANCH OF ABU DHABI 2, (NOVOMED GROUP)",CLINIC,ABU DHABI,"King Abdullah Bin Abdul aziz Street, Al Bateen", 02-2222106,Covered,Covered,,,,,,
HEALTH & STYLE MEDICAL CNENTER - LLC - ABU DHABI,CLINIC,ABU DHABI,"M203, Al Muraijeb Bdlg.Hamdan St. Abu Dhabi, UAE",02-6588717,Covered,Covered,Covered,Covered,,,,
DOCTOR ATIQUR RAHMAN POLYCLINIC,CLINIC,ABU DHABI,"MADINA ZAYED, BEHIND ABUDHABI CENTRAL POST OFFICE",02-6398331,Covered,Covered,Covered,Covered,Covered,Covered,,
MEDLUX MEDICAL CENTER LLC- ABU DHABI,CLINIC,ABU DHABI,"MAFRAQ INDUSTRIAL AREA ZONE 1 ABU DHABI, A, Plot No, 6 ",02-6229333,Covered,Covered,Covered,Covered,,Covered,,
"LIFECARE CLINIC LLC, AL MAFRAQ WORKERS CITY 2 (VPS GROUP)",CLINIC,ABU DHABI,"MAGENTA PEARL VILLAGE,  AL MAFRAQ WORKERS CITY 2, ABU DHABI",02-5824916,Covered,Covered,Covered,Covered,Covered,Covered,,
NOOR ALAHLI MEDICAL CENTER - BRANCH 6-MF5121-AHALIA GROUP,CLINIC,ABU DHABI,"Marfa Souq, Opposite Abu Saeed Mosque, Mirfa, Al Dhafrah Region, Abu Dhabi, UAE",02-8833020,Covered,Covered,Covered,Covered,Covered,,Covered,
MARINA HEALTH PROMOTION CENTER,CLINIC,ABU DHABI,"MARINA MALL NEXT TO MERCEDES SHOWROOM , ABU DHABI",02-3338333,Covered,,,,,,,
PESHAWAR MEDICAL CENTRE,CLINIC,ABU DHABI,"ME# 40 SANAIYA, MUSAFFAH",02-5508987,Covered,Covered,Covered,Covered,Covered,,Covered,
WESTERN TOWERS AL AHLIA MEDICAL CENTRE- ABUDHABI- MF4695 (AL AHLIA GROUP),CLINIC,ABU DHABI,"NEAR AL MAYA SUPER MARKET SANAYA, BEDA ZAYED",02-8840522,Covered,Covered,Covered,Covered,Covered,,Covered,
STAR AL AHALIA MEDICAL CENTER L.L.C- MF4729-AHALIA GROUP,CLINIC,ABU DHABI,"Near Gayathi Market, Gayathi City ;  Building No. C76",02-8744677,Covered,Covered,Covered,Covered,Covered,,Covered,
SHAHEEN MEDICAL CENTER - ABU DHABI / MF1012,CLINIC,ABU DHABI,"NEAR IRANIAN SCHOOL , AL FALAH STREET , BUILDING 50 , AL DAFRAH , ABU DHABI  ",02-6411345,Covered,Covered,Covered,Covered,Covered,,Covered,
TALAT MEDICAL CENTER NEW AL MUSAFFAH,CLINIC,ABU DHABI,"NEAR TAXAS GIFT CENTER, ME-12 SHAHBIYA , MUSAFFAH",02-5527100,Covered,Covered,Covered,Covered,Covered,,,
AL HENDAWY MEDICAL CENTRE-MF1838,CLINIC,ABU DHABI,"OFFICE - 1001, AL HENDAWY BUILDING, AL MURROR ROAD, OPPOSITE MADINAT ZAYED .",02-6213666,Covered,Covered,Covered,,,,,
TALAT MEDICAL CENTRE,CLINIC,ABU DHABI,"OLD PASSPORT ROAD, ABU DHABI",02-6426545,Covered,Covered,Covered,Covered,Covered,,Covered,
TAHA DENTAL & MEDICAL CENTRE ,CLINIC,ABU DHABI,"OLD PASSPORT ROAD, OPP. FATIMA SUPERMARKET BUILDING",02-6343438,Covered,Covered,Covered,Covered,Covered,,Covered,
"LIFECARE MEDICAL CENTER LLC, RAZEEN (VPS GROUP)",CLINIC,ABU DHABI,"RAZEEN, AL WATHBA, ABU DHABI",02-5826812,Covered,Covered,Covered,Covered,Covered,Covered,,
ABU SALMAN MEDICAL CENTRE,CLINIC,ABU DHABI,"SHABIYA KHALIFA MUSSAFAH SECTOR 10 ABU DHABI NEAR ISLAM ABAD PHARMACY AND UAE EXCHANGE., ",02-5522549,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ANSARI MEDICAL CENTRE LLC,CLINIC,ABU DHABI,"SHAIKH MOHAMED BIN BUTTI AL HAMID BUILDING, AL NASER STREET, NEAR OLD FISH MARKET",02-6394139,Covered,Covered,Covered,Covered,Covered,Covered,,
HEALTH PLUS DIABETES AND ENDOCRINOLOGY ,CLINIC,ABU DHABI,SHEIKH SULTAN BIN ZAYED STREET (32ND ST.),600503035,Covered,,,,,,,
AL NASEEM MEDICALCENTRE L.L.C - ABU DHABI - MF113,CLINIC,ABU DHABI,"UNIQUE PHARMACY BUILDING,FLAT N0-102,BEHIND HOME CENTRE, HAMDAN STREET, ABUDHABI",02-6399090,Covered,Covered,Covered,Covered,Covered,Covered,,
HARLEY STREET MEDICAL CENTRE,CLINIC,ABU DHABI,"VILLA A18-A21, MARINA VILLAGE, MARINA RING SIDE.",02-6133999,Covered,,,,,,,
FIRST GLOBAL CLINIC-SOLE PROPRIETORSHIP L.L.C-ABUDHABI-MF3901,CLINIC,ABU DHABI,"VILLA NO.215, ZAYED THE 1ST STREET, KHALIDIYA ", 02-6650015,Covered,Covered,Covered,Covered,Covered,,,
AMERICAN CRESCENT HEALTH CARE CENTRE,CLINIC,ABU DHABI,"ZAYED I, STREET 7, KHALIDIYA",02-6325000,Covered,Covered,Covered,,,,Covered,
THE SPECIALIST DIABETES TREATMENT & RESEARCH CENTRE (IMPERIAL COLLEGE LONDON DIABETES CENTRE ) L.L.C ? BRANCH 2,CLINIC,ABU DHABI,Zayed Sports City ;Saif Ghobash Street ;Ground Floor of Healthpoint Hospital,02-4040853,Covered,,,,,,,
INFINITY HEALTH CARE MEDICAL CENTER L.L.C - ALAIN -MF3760,CLINIC,ABU DHABI," 1st Street Hamdan Bin Zayed, Al Kharis RA, Al Jimi Al Ain",03-7618824,,,,,,,Covered,
ORIS DENTAL CENTER LLC,CLINIC,ABU DHABI," Al Ain - oud altoba ,near first gulf bank, arabic tailor building,2nd F",03-7370017,,,,,,,Covered,
"SPECTRUM MEDICAL CENTER - BRANCH 1, AL AIN",CLINIC,ABU DHABI," Shobra Shoe Building, First Floor, Main Street Al Ain",03-7800778,Covered,Covered,Covered,Covered,Covered,,,
AL AIN CROMWELL MEDICAL CENTER- AL AIN- MF4473,CLINIC,ABU DHABI, Street: 1 ;  Bldn: 46 ; Al Yahar ,03-7817778,Covered,Covered,Covered,Covered,,,Covered,
PYRAMIDS DIALYSIS CENTER LLC - ABU DHABI - MF4472,CLINIC,ABU DHABI,"24 street, Villa 1, Neima, Al Ain",03-7627060,Covered,Covered,Covered,,,,,
ARABIAN SPECIALIST MEDICAL CENTER L.L.C,CLINIC,ABU DHABI,"ABU DHABI AL AIN ,  33rd Street Oud Bin Saghan, Al Muwaiji, Building 1",03-7663111,Covered,Covered,Covered,Covered,,,,
KOREAN COSMETIC MEDICAL CENTER L.L.C - AL AIN (GOLDEN EAGLE GROUP),CLINIC,ABU DHABI,"Abu Dhabi, Al Ain Al Muwaiji, Sharia Al Muwaiji, Khalifa Bin Zayed Street 135, Building of Mr. Mohammed Joaan Rashid Al Badi",03-7828880,Covered,Covered,Covered,Covered,,Covered,,
"ALBA SMILE MEDICAL CENTER - BRANCH 1, Al Ain (NEW MEDICAL CENTER GRP)",CLINIC,ABU DHABI,"AL AIN - ASHAREEJ AREA, AL JIMI",03-7673033,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
"AL BALSAM MEDICAL CENTER, AL AIN (NEW LOOK MEDICAL CENTER GRP) - Temporary Closure",CLINIC,ABU DHABI,Al Ain- AL JIMI - beside of Al jawhara Dubai Islamic Bank.,03-7666233,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
CLINICS - MEDICLINIC HOSPITALS LLC BRANCH 10 - MF4347,CLINIC,ABU DHABI,AL BAWADI MALL BUILDING (SAME BUILDING AS UNION NATIONAL BANK),03-7667666,Covered,Covered,Covered,Covered,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
MODERN CENTER,CLINIC,ABU DHABI,"AL GABA STREET , ATLAS JEWELLY BUILDING ",03-7664764,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
"WLDY MEDICAL CENTER, AL AIN (NEW LOOK MEDICAL CENTER GRP)",CLINIC,ABU DHABI,Al JIMI AREA,03-7666626,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
